"date_test" "Background" "Allele" "Sex" "Fly" "receptor" "Sugar_before_salt" "PERA_group" "used_wt_2x" "salt_conc" "salt_type" "subject" "time" "PER" "tastant"
"sde3_ore_f_3.22_y_1_100_prob.3" "3.22" "ore" "sde3" "f" 1 "prob" "y" "e3" "n" 100 "NaCl" "sde3_ore_f_3.22_y_1_100_prob" 3 0 "Salt"
"sde3_ore_f_3.22_y_1_100_prob.4" "3.22" "ore" "sde3" "f" 1 "prob" "y" "e3" "n" 100 "NaCl" "sde3_ore_f_3.22_y_1_100_prob" 4 0 "H2O"
"sde3_ore_f_3.22_y_1_100_prob.5" "3.22" "ore" "sde3" "f" 1 "prob" "y" "e3" "n" 100 "NaCl" "sde3_ore_f_3.22_y_1_100_prob" 5 1 "Sugar"
"sde3_ore_f_3.22_y_1_100_prob.6" "3.22" "ore" "sde3" "f" 1 "prob" "y" "e3" "n" 100 "NaCl" "sde3_ore_f_3.22_y_1_100_prob" 6 1 "Salt"
"sde3_ore_f_3.22_y_1_100_prob.7" "3.22" "ore" "sde3" "f" 1 "prob" "y" "e3" "n" 100 "NaCl" "sde3_ore_f_3.22_y_1_100_prob" 7 NA "H2O"
"wt_ore_f_3.22_y_1_100_prob.1" "3.22" "ore" "wt" "f" 1 "prob" "y" "e3" "n" 100 "NaCl" "wt_ore_f_3.22_y_1_100_prob" 1 0 "H2O"
"wt_ore_f_3.22_y_1_100_prob.2" "3.22" "ore" "wt" "f" 1 "prob" "y" "e3" "n" 100 "NaCl" "wt_ore_f_3.22_y_1_100_prob" 2 1 "Sugar"
"wt_ore_f_3.22_y_1_100_prob.3" "3.22" "ore" "wt" "f" 1 "prob" "y" "e3" "n" 100 "NaCl" "wt_ore_f_3.22_y_1_100_prob" 3 0 "Salt"
"wt_ore_f_3.22_y_1_100_prob.4" "3.22" "ore" "wt" "f" 1 "prob" "y" "e3" "n" 100 "NaCl" "wt_ore_f_3.22_y_1_100_prob" 4 0 "H2O"
"wt_ore_f_3.22_y_1_100_prob.5" "3.22" "ore" "wt" "f" 1 "prob" "y" "e3" "n" 100 "NaCl" "wt_ore_f_3.22_y_1_100_prob" 5 0 "Sugar"
"wt_ore_f_3.22_y_1_100_prob.6" "3.22" "ore" "wt" "f" 1 "prob" "y" "e3" "n" 100 "NaCl" "wt_ore_f_3.22_y_1_100_prob" 6 0 "Salt"
