Date	Geno	Sex	Fly_num	h201	SOR	suc_1	SOR	KCl_1	SOR	h20_2	SOR	suc_2	SOR	KCl_2	SOR	h20_3	SOR	Sucrose_before_salt	Wetted_Flug
26-Nov	samsde3	m	2	0	0	0	0	1	w	0	0	0	0	1	w	1	w	y	n
26-Nov	samsde3	m	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	n
26-Nov	samsde3	m	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	n
26-Nov	BC12ShortR1	f	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	y
26-Nov	BC12ShortR1	f	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	y
26-Nov	BC12ShortR1	f	3	1	S	0	0	0	0	0	0	0	0	0	0	0	0	y	y
26-Nov	BC12ShortR1	f	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	y
26-Nov	BC12ShortR1	f	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	n
26-Nov	BC12ShortR1	f	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	n
26-Nov	BC12ShortR1	f	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	n
26-Nov	BC12ShortR1	f	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	n
26-Nov	BC12ShortR1	m	1	0	0	0	0	0	0	0	0	1	S	0	0	1	S	y	y
26-Nov	BC12ShortR1	m	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	y
26-Nov	BC12ShortR1	m	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	y
26-Nov	BC12ShortR1	m	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	y
26-Nov	BC12ShortR1	m	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	n
26-Nov	BC12ShortR1	m	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	n
26-Nov	BC12ShortR1	m	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	y	n
26-Nov	BC12ShortR1	m	4	0	0	0	0	0	0	0	0	1	S	1	S	1	S	y	n
27-Nov	orewt	f	1	0	0	1	S	0	0	1	S	1	S	0	0	0	0	n	y
27-Nov	orewt	f	2	0	0	1	S	0	0	0	0	1	S	0	0	0	0	n	y
27-Nov	orewt	f	3	0	0	1	S	1	S	0	0	1	S	0	0	0	0	n	y
27-Nov	orewt	f	4	0	0	1	S	0	0	0	0	1	S	1	S	0	0	n	y
27-Nov	orewt	f	5	0	0	0	0	1	S	1	S	0	0	1	S	0	0	n	y
27-Nov	orewt	f	6	0	0	0	0	0	0	0	0	0	0	0	0	1	S	n	y
27-Nov	orewt	f	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	y
27-Nov	orewt	f	8	0	0	1	S	0	0	0	0	1	S	0	0	0	0	n	y
27-Nov	orewt	f	9	0	0	1	S	0	0	0	0	0	0	0	0	0	0	n	y
27-Nov	orewt	f	1	0	0	0	0	1	S	0	0	0	0	0	0	0	0	n	n
